,,,WholeSaler Stock As On Today(in MT)
S.No,State,District,Dealer Id,Agency Name,Dealer Type,Dealership Nature,Company,Plant,Product,Stock,Stock Date
1,Maharashtra,Ahmednagar,1152836,ASHIRWAD KRUSHI SEVA KENDRA-DH,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),1.8,2024-01-11,
2,Maharashtra,Ahmednagar,1152836,ASHIRWAD KRUSHI SEVA KENDRA-DH,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,6.5,2024-01-11,
3,Maharashtra,Ahmednagar,185428,Pravara Phale Bhajipala Utpada,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported MAP,15.0,2024-01-11,
4,Maharashtra,Ahmednagar,185450,Sangamner Shetki Sah. Sangh,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,27.0,2024-01-11,
5,Maharashtra,Ahmednagar,185450,Sangamner Shetki Sah. Sangh,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported MAP,40.0,2024-01-11,
6,Maharashtra,Ahmednagar,741460,UJJAWALA AGRO FERTILIZERS,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,25.0,2024-01-11,
7,Maharashtra,Ahmednagar,542651,Yogesh Fertilizer-Sangamner,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,2.5,2024-01-11,
8,Maharashtra,Akola,337291,Mahaveer Krishi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),12.15,2024-01-11,
9,Maharashtra,Akola,337291,Mahaveer Krishi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,11.5,2024-01-11,
10,Maharashtra,Amravati,201442,Anand Krushi Kendra Badnera,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),8.9,2024-01-11,
11,Maharashtra,Amravati,201480,Krishi Anand Amravati,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),1.8,2024-01-11,
12,Maharashtra,Amravati,201480,Krishi Anand Amravati,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,15.0,2024-01-11,
13,Maharashtra,Amravati,255791,M/S.Shri Bhumi Kalpataru Amrav,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),30.15,2024-01-11,
14,Maharashtra,Amravati,438106,Ramdeo Traders ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),78.21,2024-01-11,
15,Maharashtra,Amravati,438106,Ramdeo Traders ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,3.0,2024-01-11,
16,Maharashtra,Amravati,438106,Ramdeo Traders ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),39.375,2024-01-11,
17,Maharashtra,Amravati,201530,Shah Somchand Khimji And Compa,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),18.0,2024-01-11,
18,Maharashtra,Amravati,201552,The Vidarbha Co Op Marketing F,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,0.05,2024-01-11,
19,Maharashtra,Aurangabad,207467,Arihant Krushi Seva Kendra  La,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,14.5,2024-01-11,
20,Maharashtra,Aurangabad,553162,Krushi Seva Kendra  Soygaon,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),8.01,2024-01-11,
21,Maharashtra,Aurangabad,559952,Navratna Fertilizers,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,3.55,2024-01-11,
22,Maharashtra,Bhandara,221762,Adarsh Agro Service Centre,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),5.4,2024-01-11,
23,Maharashtra,Bhandara,212566,Gayatri Enterprices Main Raod ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),9.9,2024-01-11,
24,Maharashtra,Bhandara,1248399,Mangesh Krishi Kendra Pahela,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),19.8,2024-01-11,
25,Maharashtra,Bhandara,530144,Mohadi Agro Agency  Mohadi,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),6.3,2024-01-11,
26,Maharashtra,Bhandara,215109,Sadguru K.K.,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),8.1,2024-01-11,
27,Maharashtra,Bhandara,221751,Vaibhav Krishi Kendra  Bhandar,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),19.8,2024-01-11,
28,Maharashtra,Bhandara,221759,Vidharbh Coop Mktg Fed. Ltd  B,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),5.4,2024-01-11,
29,Maharashtra,Buldhana,206346, Adarsh Seeds  Company,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,15.0,2024-01-11,
30,Maharashtra,Buldhana,206354,Buldhana Bhu.Au.S Buldhana.,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 10-26-26,5.0,2024-01-11,
31,Maharashtra,Buldhana,206354,Buldhana Bhu.Au.S Buldhana.,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 15-15-15,5.0,2024-01-11,
32,Maharashtra,Buldhana,206362,Dipeeka Krishi Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),29.25,2024-01-11,
33,Maharashtra,Buldhana,324601,Jain Krishi Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,1.0,2024-01-11,
34,Maharashtra,Buldhana,557108,SOMESHWAR B.U.SHETKARI SANSTHA,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),762.66,2024-01-11,
35,Maharashtra,Buldhana,557108,SOMESHWAR B.U.SHETKARI SANSTHA,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported MAP,2.15,2024-01-11,
36,Maharashtra,Buldhana,1229335,SRI BALAJI FARMERS WELFARE A.S,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),42.48,2024-01-11,
37,Maharashtra,Buldhana,1229335,SRI BALAJI FARMERS WELFARE A.S,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,0.55,2024-01-11,
38,Maharashtra,Buldhana,1229335,SRI BALAJI FARMERS WELFARE A.S,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,18.0,2024-01-11,
39,Maharashtra,Chandrapur,214328,Balaji K.Kendra Bramhapuri,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),7.65,2024-01-11,
40,Maharashtra,Chandrapur,214328,Balaji K.Kendra Bramhapuri,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,5.45,2024-01-11,
41,Maharashtra,Chandrapur,214892,Bharat Krishi Kendra Gondpipri,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),14.25,2024-01-11,
42,Maharashtra,Chandrapur,255786,Chandak Agro Centre Rajura,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),7.85,2024-01-11,
43,Maharashtra,Chandrapur,214888,Dipak Krishi Kendra Bramhapuri,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),88.875,2024-01-11,
44,Maharashtra,Chandrapur,262843,Kishor Kk  Bhisi,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),33.3,2024-01-11,
45,Maharashtra,Dhule,346232,Gopal Agro Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),14.3,2024-01-11,
46,Maharashtra,Dhule,735478,GOYAL TRADING COMPANY DHULE,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),49.86,2024-01-11,
47,Maharashtra,Dhule,375247,Janki Agro Services,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),19.89,2024-01-11,
48,Maharashtra,Dhule,370673,Krushi Vaibhav,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),14.85,2024-01-11,
49,Maharashtra,Dhule,118115,Shantilal Lalchand,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,2.95,2024-01-11,
50,Maharashtra,Dhule,118115,Shantilal Lalchand,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,3.0,2024-01-11,
